id,M2,Power,Alpha.one.s,Alpha.one.s.c,p_C,p_T,S_F.rate,Allocation ,DO,Total.SS,PE.type,SS.calc,anal.CI,anal.p,comments,Miss.ass,Miss.report,Missing % for rand.,Miss.anal,Ni.decision,Analysis Set,Sens for miss,M2_just,TA,sponsor,reg_guide_quote,ss_rand,miss_rand,type,protocol,p_diff,p_diff_ci,M2_comp
4,0.05,0.9,0.025,,0.3,0.4,S,1:01,0.1,470,Difference,NA,"Mixed  GLM (link=identity, dist=bin, radnom=site )","Not specified, but presented",,NA,Y,0.04,NA,CI,ITT,"Y- mITT, PP",expert consensus group meeting,cancer,NIHR,no,500,20,diagnosis,yes,0.12,0.04,above -0.05
6,0.067,0.8,0.05,,0.033,NA,F,1:01,NA,178,RR,NA,Chi-square,FM,,NA,Y,0.16,NA,CI,ITT,N,based on past litrature,cancer,research organization,no,209,33,surgical intervention,yes,1.33,2.46,not clear
8,0.07,0.8,0.025,,0.18,NA,F,1:01,0.2,900,Difference,NA,"Mixed  GLM (link=logit, dist=bin, radnom=site )","Mixed  GLM (link=logit, dist=bin, radnom=site )",,"Assumed no missing, because in PP only 2 missing",Y,0.115,CCA,CI,PP,Y- ITT,group of clinicians,diabetes,research grant,no,914,105,treatment,yes,0.042,0.105,below 0.07
11,0.023,NA,0.025,D,NA,NA,S,1:01,NA,202,Difference,NA,MH,"Not specified, but presented","Mentions blined SS reestimation, and doesn't provide a lot of details about the SS estmation. No CONSORT diagram.",NA,N,0,NA,CI,ITT,N,no,cardiovascular,research grant,no,202,0,treatment,yes,12,0.02,above - 0.023
13,0.1,0.8,0.025,,NA,NA,S,1:01,NA,366,Difference,FM,FM,FM,,The article say that there was no missing daa,Y,0.014,NA,CI or p-value,ITT,Y-worst case,no,cardiovascular,pharma,no,366,5,device,yes,0.192,0.098,above -0.1
19,0.1,NA,0.05,NM,0.95,NA,S,1:01,0.1,524,Difference,NA,Agresti- Caffo,Not presented,For primary analysis population- this study had special defition,NA,Y,0.27,NA,CI,Not ITT/PP,Y-MICE,no,infection,research grant,no,583,157,treatment,no,0.037,0.157,below 0.1
22,0.1,0.9,0.025,,0.15,NA,F,1:01:01,NA,680,Difference,NA,"GLM (link=identity, dist=bin )","Not specified, but presented","""Missing values were not imputed""",NA,Y,0.06,NA,CI/p-value,ITT,PP/worst case,no,infection,research grant,no,721,43,treatment,yes,-0.0318,0.0415,below 0.1
25,0.15,0.9,0.025,,0.8,0.8,S,1:01,NA,500,Difference,NA,Miettinen and Nurminen,"Not specified, but presented",,NA,Y,0.32,NA,CI,mITT,NA,FDA guidline,urinary tract infection,pharma,yes,550,176,treatment,no,0.045,0.007,above -0.15
26,0.01,0.8,0.025,D,0.03,0.02,S,1:01,NA,2000,Difference,Newcomb-Wilson (5000 simulations),Not specified,"Not specified, but presented",,NA,N,0,NA,CI,ITT/PP,NA,no,cardiovascular,government,no,2040,0,device,yes,0.001,-0.018,above -0.01
27,0.01,0.9,0.025,D,0.01,NA,F,1:01,0.01,3426,Difference,NA,Wald,Fisher's Exact,,NA,Y,0.001,NA,CI/p-value,ITT,NA,experts survey,thrombosis,government,no,3427,3,treatment,yes,0.06,-0.55,not clear
30,0.1,0.8,0.025,,0.95,0.95,S,1:01,NA,200,Difference,NA,Profile likelihood,Not presented,,NA,Y,0.053,CCA,CI,ITT,NA,no,dermathoogy/pediatrics,NA,no,207,11,treatment,yes,-0.055,0.084,below 0.1
35,0.15,0.8,0.025,,0.7,NA,S,1:01,0.15,340,Difference,NA,Newcombe-Wilson,Chi-square with fixed margins.,,NA,Y,0.068,Miissing assigned as failure,CI/p-value,ITT/PP,NA,no,surgery preparation,hospital,no,354,24,treatment,no,0.056,0.146,below 0.15
38,0.13,0.8,0.025,,0.94,0.89,S,2:01,NA,390,Difference,NA,Blackwelder,Blackwelder,,NA,Y,0.058,Missing assigned as failure,CI/p-value,mITT,NA,no,infection,research grant,yes,394,23,treatment,no,-0.0719,-0.1171,above -0.13
39,0.06,0.8,0.05,NM,0.98,NA,S,2:01,0.1,171,Difference,NA,Not specified,"Not specified, but presented","primary analysis was not spcified, only general analysis",NA,Y,0.053,NA,CI,ITT/PP,NA,no,infection,pharma,no,169,9,treatment,yes,-0.023,0.0524,below 0.06
41,0.105,0.85,0.025,,0.4,0.4,F,1:02,0.05,912,Difference,NA,FM,"Not specified, but presented",,NA,Y,0.043,CCA,CI,Not ITT/PP,Y- tipping point,no,cardiovascular,pharma,no,912,39,device,yes,0.031,0.083,below 0.105
56,NA,0.9,0.025,,0.4,0.78,F,1:01,NA,80,Difference,NA,Not specified,Not presented,,NA,Y,0.1,NA,CI,ITT,NA,NA,pain,government,no,91,9,treatment,yes,0.39,0.54,NA
59,0.15,0.8,0.05,,0.6,NA,S,1:01,0.2,317,Difference,Z-Test,Not specified,"Not specified, but presented",,NA,Y,0.2,NA,CI,PP,NA,no,gynecology,research fund,no,285,57,device,no,0.05,0.15,below 0.15
62,0.066,0.9,0.025,,0.2,NA,F,1:01,NA,800,Difference,NA,Not specified,Fisher's Exact,,NA,Y,0.055,LOCF,CI/p-value,mITT,NA,FDA guidline,surgery preparation,pharma,yes,802,44,treatment,no,0.028,0.089,above 0.066
